French,English
leurs,their
affaire,case
train,train
belle,beautiful
espère,hope
partie,part
parle,speak
trouve,find
corps,body
heures,hours
donné,given
chaque,each
place,square
suite,after
devrait,should
demandé,request
boulot,job
main,hand
croire,believe
savais,knew
vont,will
fin,end
côté,side
devant,in front of
sois,be
pensais,thought
vieux,old
eux,them
demande,request
aucune,any
ville,city
parti,left
compris,understood
jouer,to play
car,because
tiens,here
bureau,office
matin,morning
dont,whose
vers,towards
aimerais,would like to
premier,first
aucun,no
mois,month
pendant,while
aura,will have
attention,Warning
chérie,sweetheart
pardon,sorry
écoute,listen
arrêter,Stop
point,point
genre,kind
arrivé,come
eau,water
loin,far
laisser,let
laisse,leash
compte,account
mettre,to put
façon,way
terre,Earth
histoire,history
aujourd'hui,today
filles,girls
plutôt,rather
chambre,bedroom
enfant,child
étaient,were
venez,come
pouvoir,power
donner,give
perdu,lost
voici,here is
mis,placed
yeux,eyes
minutes,minutes
seulement,only
longtemps,long time
parlé,speak
gros,large
attendez,Wait
type,type
frère,brother
police,police
bébé,baby
tellement,so much
donne,given
revoir,meet again
endroit,place
enfin,finally
chercher,search
dirait,would say
première,first
nouvelle,new
venu,came
mari,husband
